id,nameChinese,nameEnglish,nameGerman,meridian,element,location,depth,frequency,harmonicFrequencies,pointTypes,functions,indications,precautions,chakraCorrespondence
LR5,Ligou,Woodworm Canal,Holzwurmkanal,LR,wood,"5 cun über dem medialen Malleolus, am Hinterrand der Tibia",0.5-1 cun,317.6,635.2; 952.8; 1270.4; 1588,luo_connecting,Reguliert Leber-Qi; Reguliert Menstruation,Menstruationsstörungen; Leukorr; Hernie; Harnprobleme,,
LR6,Zhongdu,Central Metropolis,Zentrale Metropole,LR,wood,"7 cun über dem medialen Malleolus, am Hinterrand der Tibia",0.5-1 cun,325,650; 975; 1300; 1625,xi_cleft,Reguliert Leber-Qi; Stoppt Blutungen,Menorrhagie; Hernie; Bauchschmerzen,,
LR7,Xiguan,Knee Joint,Kniegelenk,LR,wood,1 cun posterior und inferior des medialen Tibiakondylus,0.5-1 cun,332.4,664.8; 997.2; 1329.6; 1662,regular,Zerstreut Wind-Feuchtigkeit; Lindert Schmerzen,Knieschmerzen; Unterschenkelschmerzen,,
LR8,Ququan,Spring at the Bend,Quelle an der Beuge,LR,wood,"Am medialen Ende der Kniekehle, bei gebeugtem Knie, am Hinterrand des medialen Tibiakondylus",1-1.5 cun,339.8,679.6; 1019.4; 1359.2; 1699,he_sea,Nährt Leber-Blut; Reguliert Menstruation; Löst Feuchtigkeit,Menstruationsstörungen; Leukorr; Knieschmerzen; Impotenz,,svadhisthana
LR9,Yinbao,Yin Wrapping,Yin-Umhüllung,LR,wood,"4 cun über dem medialen Knie, zwischen M. sartorius und M. gracilis",0.5-1 cun,347.2,694.4; 1041.6; 1388.8; 1736,regular,Reguliert untere Körperöffnungen,Lendenschmerzen; Hernie; Menstruationsstörungen,,
LR10,Foot Wuli,Foot Five Miles,Fünf Meilen des Fußes,LR,wood,"3 cun unter ST30, am medialen Rand des M. adductor longus",0.5-1 cun,354.6,709.2; 1063.8; 1418.4; 1773,regular,Reguliert Leber-Qi,Hernie; Lendenschmerzen; Harnverhalt,,
LR11,Yinlian,Yin Corner,Yin-Ecke,LR,wood,"2 cun unter ST30, am medialen Rand des M. adductor longus",0.5-1 cun,362,724; 1086; 1448; 1810,regular,Reguliert Menstruation,Menstruationsstörungen; Leistenschmerzen,,
LR12,Jimai,Urgent Pulse,Dringender Puls,LR,wood,"2.5 cun lateral der Mittellinie, lateral der A. femoralis",0.5-1 cun,369.4,738.8; 1108.2; 1477.6; 1847,regular,Reguliert Leber-Qi; Lindert Schmerzen,Hernie; Leistenschmerzen; Genitalbeschwerden,Vorsicht - A. femoralis,
LR13,Zhangmen,Camphorwood Gate,Kampferholztor,LR,wood,An der Spitze der 11. Rippe,0.5-1 cun,376.8,753.6; 1130.4; 1507.2; 1884,mu_front; hui_meeting,Harmonisiert Leber und Milz; Stärkt Milz; Reguliert Qi,Bauchschmerzen; Durchfall; Rippenschmerzen; Hepatosplenomegalie,,manipura
LR14,Qimen,Cycle Gate,Zyklustor,LR,wood,"Im 6. ICR, auf der Mamillarlinie",0.5-0.8 cun schräg,384.2,768.4; 1152.6; 1536.8; 1921,mu_front,Reguliert Leber-Qi; Belebt Blut; Harmonisiert Magen,Rippenschmerzen; Brustschmerzen; Mastitis; Depression,Nicht tief stechen,anahata
DU1,Changqiang,Long Strong,Lange Stärke,DU,water,Auf der Mittellinie zwischen Steißbein und Anus,0.5-1 cun schräg nach oben,136.1,272.2; 408.3; 544.4; 680.5,luo_connecting,Reguliert Du Mai und Ren Mai; Beruhigt Geist,Hämorrhoiden; Prolaps; Epilepsie; Rückenschmerzen,,muladhara
DU4,Mingmen,Gate of Life,Lebenstor,DU,water,Unter dem Dornfortsatz L2,0.5-1 cun,147.85,295.7; 443.55; 591.4; 739.25,regular,Tonisiert Nieren-Yang; Stärkt Essenz; Wärmt das Tor des Lebens,Lendenschmerzen; Impotenz; Unfruchtbarkeit; Erschöpfung,,svadhisthana
DU14,Dazhui,Great Hammer,Großer Wirbel,DU,fire,Unter dem Dornfortsatz C7,0.5-1 cun,183.58,367.16; 550.74; 734.32; 917.9,hui_meeting,Klärt Hitze; Zerstreut Wind; Reguliert Yang,Fieber; Nackensteifigkeit; Malaria; Epilepsie,,vishuddha
DU20,Baihui,Hundred Convergences,Hundert Treffen,DU,fire,"Auf dem Scheitel, auf der Verbindung der Ohrspitzen",0.5-1 cun schräg,221.23,442.46; 663.69; 884.92; 1106.15,regular,Hebt Yang; Beruhigt Geist; Erhellt Sinne,Kopfschmerzen; Schwindel; Prolaps; Depression,,sahasrara
DU26,Shuigou,Water Trough,Wassertrog,DU,water,"Im Philtrum, am Übergang des oberen zum mittleren Drittel",0.3-0.5 cun schräg nach oben,194.18,388.36; 582.54; 776.72; 970.9,regular,Belebt Bewusstsein; Zerstreut Hitze; Lindert akute Schmerzen,Bewusstlosigkeit; Schock; Epilepsie; Hexenschuss,,ajna
REN1,Huiyin,Meeting of Yin,Treffen des Yin,REN,water,In der Mitte des Perineums,0.5-1 cun,141.27,282.54; 423.81; 565.08; 706.35,regular,Nährt Yin; Belebt Bewusstsein; Reguliert untere Öffnungen,Harnverhalt; Prolaps; Impotenz; Bewusstlosigkeit,,muladhara
REN4,Guanyuan,Origin Pass,Grenztor des Ursprungs,REN,water,3 cun unter dem Nabel,1-2 cun,152.8,305.6; 458.4; 611.2; 764,mu_front,Stärkt Yuan-Qi; Tonisiert Nieren; Nährt Blut,Unfruchtbarkeit; Impotenz; Dysmenorrhoe; Erschöpfung,,svadhisthana
REN6,Qihai,Sea of Qi,Meer des Qi,REN,water,1.5 cun unter dem Nabel,1-2 cun,158.4,316.8; 475.2; 633.6; 792,regular,Tonisiert Qi; Reguliert Qi-Bewegung,Erschöpfung; Depression; Bauchschmerzen; Hernie,,svadhisthana
REN12,Zhongwan,Central Venter,Mittlerer Bauch,REN,earth,4 cun über dem Nabel,1-2 cun,170.6,341.2; 511.8; 682.4; 853,mu_front; hui_meeting,Harmonisiert Magen; Stärkt Milz; Reguliert Qi,Magenschmerzen; Übelkeit; Erbrechen; Appetitlosigkeit,,manipura
REN17,Tanzhong,Chest Center,Brustmitte,REN,fire,"Auf dem Sternum, auf Höhe des 4. ICR",0.3-0.5 cun schräg,183.58,367.16; 550.74; 734.32; 917.9,mu_front; hui_meeting,Reguliert Qi; Unblockt Brust; Fördert Laktation,Brustschmerzen; Asthma; Mastitis; Herzbeschwerden,,anahata
REN22,Tiantu,Celestial Chimney,Himmelskamin,REN,metal,In der Mitte der suprasternalen Fossa,0.3-0.5 cun nach hinten und unten,194.71,389.42; 584.13; 778.84; 973.55,regular,Unblockt Kehle; Senkt rebellierendes Qi,Husten; Asthma; Heiserkeit; Globusgefühl,Vorsicht - Trachea,vishuddha
REN24,Chengjiang,Container of Fluids,Flüssigkeitsbehälter,REN,water,In der Mitte der mentolabial Furche,0.2-0.3 cun,205.88,411.76; 617.64; 823.52; 1029.4,regular,Zerstreut Wind; Aktiviert Kollateralen,Gesichtslähmung; Speichelfluss; Zahnfleischschwellung,,
EX-HN1,Sishencong,Four Spirit Cleverness,Vier Geister der Klugheit,EXTRA,fire,"4 Punkte, je 1 cun vor, hinter und seitlich von DU20",0.5-0.8 cun schräg,432,864; 1296; 1728; 2160,extra,Beruhigt Geist; Klärt Kopf,Kopfschmerzen; Schwindel; Schlaflosigkeit; Gedächtnisprobleme,,sahasrara
EX-HN3,Yintang,Hall of Impression,Halle des Eindrucks,EXTRA,fire,Auf der Mittellinie zwischen den Augenbrauen,0.3-0.5 cun schräg nach unten,432,864; 1296; 1728; 2160,extra,Beruhigt Geist; Zerstreut Wind; Lindert Schmerzen,Kopfschmerzen; Rhinitis; Schlaflosigkeit; Angst,,ajna
EX-HN5,Taiyang,Supreme Yang,Höchstes Yang,EXTRA,fire,In der Vertiefung etwa 1 cun lateral des äußeren Augenwinkels,0.3-0.5 cun oder Blutenlassen,384,768; 1152; 1536; 1920,extra,Zerstreut Wind; Klärt Hitze; Lindert Schmerzen,Kopfschmerzen; Migräne; Augenerkrankungen; Trigeminusneuralgie,,
EX-B1,Dingchuan,Stop Asthma,Asthma stoppen,EXTRA,metal,0.5 cun lateral von DU14,0.5-1 cun,384,768; 1152; 1536; 1920,extra,Lindert Asthma; Senkt rebellierendes Qi,Asthma; Husten; Nackensteifigkeit,,
EX-B2,Jiaji,Huatuojiaji,Huatuo-Paravertebral-Punkte,EXTRA,water,0.5 cun lateral der Dornfortsätze C1-L5 (34 Punkte),0.5-1 cun,256,512; 768; 1024; 1280,extra,Reguliert Organe; Entspannt Sehnen,Rückenschmerzen; Organerkrankungen; Paralyse,,
EX-UE7,Yaotongxue,Lumbar Pain Point,Lendenschmerzpunkt,EXTRA,water,2 Punkte auf dem Handrücken zwischen 2./3. und 4./5. Metakarpale,0.5-0.8 cun,192,384; 576; 768; 960,extra,Belebt Blut; Lindert Schmerzen,Akute Lendenschmerzen; Hexenschuss,,
EX-UE9,Baxie,Eight Evils,Acht Übel,EXTRA,metal,8 Punkte auf dem Handrücken zwischen den Fingern,0.5-0.8 cun,341.3,682.6; 1023.9; 1365.2; 1706.5,extra,Zerstreut Hitze; Lindert Schwellung,Fingerschmerzen; Taubheitsgefühl; Fieber,,
EX-UE10,Sifeng,Four Seams,Vier Nähte,EXTRA,earth,4 Punkte auf der palmaren Seite der Finger 2-5,Stich mit Blutenlassen,256,512; 768; 1024; 1280,extra,Löst Stagnation; Fördert Verdauung,Kindliche Unterernährung; Verdauungsstörungen; Keuchhusten,,
EX-UE11,Shixuan,Ten Dispersions,Zehn Zerstreuungen,EXTRA,fire,10 Punkte an den Fingerspitzen,0.1 cun oder Blutenlassen,341.3,682.6; 1023.9; 1365.2; 1706.5,extra,Klärt Hitze; Belebt Bewusstsein,Hohes Fieber; Bewusstlosigkeit; Schock; Epilepsie,,
EX-LE4,Neixiyan,Inner Knee Eye,Inneres Knieauge,EXTRA,earth,Mediale Vertiefung des Kniegelenks bei gebeugtem Knie,0.5-1 cun,288,576; 864; 1152; 1440,extra,Aktiviert Kollateralen; Lindert Schmerzen,Knieschmerzen; Gonarthrose,,
EX-LE5,Xiyan,Knee Eyes,Knieaugen,EXTRA,earth,Laterale Vertiefung des Kniegelenks bei gebeugtem Knie,0.5-1 cun,288,576; 864; 1152; 1440,extra,Aktiviert Kollateralen; Lindert Schmerzen,Knieschmerzen; Gonarthrose; Kniegelenkerguss,,
EX-LE10,Bafeng,Eight Winds,Acht Winde,EXTRA,metal,8 Punkte auf dem Fußrücken zwischen den Zehen,0.5-0.8 cun,384,768; 1152; 1536; 1920,extra,Zerstreut Wind; Aktiviert Kollateralen,Fußschmerzen; Taubheitsgefühl; Schwellung,,
